date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:31:13	2064/2064	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Dec%202022%2007:31:13%20GMT	https://www.httrack.com/html/fade.gif	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/fade.gif	(from https://www.httrack.com/html/index.html)
01:31:13	2000/2000	---M--	200	added ('OK')	image/gif	etag:%227d0-3bd637ac0ce40%22	https://www.httrack.com/html/images/header_title_4.gif	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/images/header_title_4.gif	(from https://www.httrack.com/html/index.html)
01:31:13	5518/5518	---M-Z	200	added ('OK')	text/html	etag:%22158e-42700ec225980-gzip%22	https://www.httrack.com/html/overview.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/overview.html	(from https://www.httrack.com/html/index.html)
01:31:13	5429/5429	---M-Z	200	added ('OK')	text/html	etag:%221535-42700ec319bc0-gzip%22	https://www.httrack.com/html/shelldoc.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/shelldoc.html	(from https://www.httrack.com/html/index.html)
01:31:14	105313/105313	---M-Z	200	added ('OK')	text/html	etag:%2219b61-5ce89f03e2800-gzip%22	https://www.httrack.com/html/fcguide.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/fcguide.html	(from https://www.httrack.com/html/index.html)
01:31:14	5992/5992	---M-Z	200	added ('OK')	text/html	etag:%221768-42700ebf492c0-gzip%22	https://www.httrack.com/html/dev.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/dev.html	(from https://www.httrack.com/html/index.html)
01:31:14	21071/21071	---M-Z	200	added ('OK')	text/html	etag:%22524f-42700ebe55080-gzip%22	https://www.httrack.com/html/abuse.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/abuse.html	(from https://www.httrack.com/html/index.html)
01:31:15	1683/1683	---M-Z	200	added ('OK')	text/plain	etag:%22693-4beff120380c0-gzip%22	https://www.httrack.com/license.txt	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/license.txt	(from https://www.httrack.com/html/index.html)
01:31:15	39512/39512	---M-Z	200	added ('OK')	text/plain	etag:%229a58-54ff0ab1b6d40-gzip%22	https://www.httrack.com/history.txt	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/history.txt	(from https://www.httrack.com/html/index.html)
01:31:15	9216/9216	---M-Z	200	added ('OK')	text/html	etag:%222400-42700ebf492c0-gzip%22	https://www.httrack.com/html/contact.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/contact.html	(from https://www.httrack.com/html/index.html)
01:31:15	12655/12655	---M-Z	200	added ('OK')	text/html	etag:%22dd59100dd45d96d3932f3ca6b5ad7fdd%22	https://www.httrack.com/page/7/fr/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/7/fr/index.html	(from https://www.httrack.com/page/7/en/index.html)
01:31:16	13066/13066	---M-Z	200	added ('OK')	text/html	etag:%22ec59a23d9630e06da9dc4248d8426f2c%22	https://www.httrack.com/page/9/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/9/en/index.html	(from https://www.httrack.com/page/7/en/index.html)
01:31:16	54613/54613	---M-Z	200	added ('OK')	text/html	etag:%2293e52b28dde41c6a095debf04bb4187d%22	https://www.httrack.com/page/4/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/4/en/index.html	(from https://www.httrack.com/page/7/en/index.html)
01:31:16	46561/46561	---M-Z	200	added ('OK')	text/html	etag:%225839beece644d0bb8678e751ead6903f%22	https://www.httrack.com/page/5/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/5/en/index.html	(from https://www.httrack.com/page/7/en/index.html)
01:31:17	12943/12943	---M-Z	200	added ('OK')	text/html	etag:%22ed7b3c8853db9670ef8e77d42be28463%22	https://www.httrack.com/page/6/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/6/en/index.html	(from https://www.httrack.com/page/7/en/index.html)
01:31:17	13945/13945	---M-Z	200	added ('OK')	text/html	etag:%229fb981c4d8cf531fce85150c7855b953%22	https://www.httrack.com/page/8/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/8/en/index.html	(from https://www.httrack.com/page/7/en/index.html)
01:31:17	7337/7337	---M-Z	200	added ('OK')	text/html	etag:%221ca9-41770507d2f40-gzip%22	https://www.httrack.com/derivative.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/derivative.html	(from https://www.httrack.com/page/7/en/index.html)
01:31:17	10974/10974	---M-Z	200	added ('OK')	text/html	etag:%22453359ba111df2b2f4dbf170b4180b59%22	https://www.httrack.com/page/7/en/fade.gif	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/7/en/fade.html	(from https://www.httrack.com/page/7/en/index.html)
01:31:17	1563/1563	---M--	200	added ('OK')	image/gif	etag:%2261b-3a5a4b0872b40%22	https://www.httrack.com/icn/httbutton.gif	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/icn/httbutton.gif	(from https://www.httrack.com/page/7/en/index.html)
